Image,Bright,Label,Confidence
crosswalk10,0.5,Road,99.902
crosswalk10,0.6,Road,99.881
crosswalk10,0.7,Road,99.863
crosswalk10,0.8,Road,99.858
crosswalk10,0.9,Road,99.865
crosswalk10,1.1,Road,99.929
crosswalk10,1.2,Road,99.913
crosswalk10,1.3,Road,99.903
crosswalk10,1.4,Road,99.903
crosswalk10,1.5,Road,99.897
crosswalk3,0.5,Road,99.988
crosswalk3,0.6,Road,99.992
crosswalk3,0.7,Road,99.991
crosswalk3,0.8,Road,99.991
crosswalk3,0.9,Road,99.98
crosswalk3,1.1,Road,99.978
crosswalk3,1.2,Road,99.983
crosswalk3,1.3,Road,99.976
crosswalk3,1.4,Road,99.977
crosswalk3,1.5,Road,99.969
crosswalk4,0.5,Road,99.992
crosswalk4,0.6,Road,99.993
crosswalk4,0.7,Road,99.99
crosswalk4,0.8,Road,99.992
crosswalk4,0.9,Road,99.99
crosswalk4,1.1,Road,99.993
crosswalk4,1.2,Road,99.992
crosswalk4,1.3,Road,99.992
crosswalk4,1.4,Road,99.989
crosswalk4,1.5,Road,99.988
crosswalk7,0.5,Road,99.988
crosswalk7,0.6,Road,99.992
crosswalk7,0.7,Road,99.993
crosswalk7,0.8,Road,99.992
crosswalk7,0.9,Road,99.991
crosswalk7,1.1,Road,99.993
crosswalk7,1.2,Road,99.992
crosswalk7,1.3,Road,99.99
crosswalk7,1.4,Road,99.991
crosswalk7,1.5,Road,99.991
crosswalk9,0.5,Road,99.932
crosswalk9,0.6,Road,99.958
crosswalk9,0.7,Road,99.923
crosswalk9,0.8,Road,99.893
crosswalk9,0.9,Road,99.916
crosswalk9,1.1,Road,99.894
crosswalk9,1.2,Road,99.878
crosswalk9,1.3,Road,99.779
crosswalk9,1.4,Road,97.983
crosswalk9,1.5,Road,97.149
