Image,Contrast,Label,Confidence
crosswalk1,1.5,Road,93.145
crosswalk10,0.5,Road,99.968
crosswalk10,0.6,Road,99.943
crosswalk10,0.7,Road,99.931
crosswalk10,0.8,Road,99.891
crosswalk10,0.9,Road,99.898
crosswalk10,1.1,Road,99.915
crosswalk10,1.2,Road,99.896
crosswalk10,1.3,Road,99.902
crosswalk10,1.4,Road,99.92
crosswalk10,1.5,Road,99.92
crosswalk3,0.5,Road,99.973
crosswalk3,0.6,Road,99.978
crosswalk3,0.7,Road,99.985
crosswalk3,0.8,Road,99.977
crosswalk3,0.9,Road,99.973
crosswalk3,1.1,Road,99.974
crosswalk3,1.2,Road,99.972
crosswalk3,1.3,Road,99.972
crosswalk3,1.4,Road,99.969
crosswalk3,1.5,Road,99.973
crosswalk4,0.5,Road,99.982
crosswalk4,0.6,Road,99.984
crosswalk4,0.7,Road,99.989
crosswalk4,0.8,Road,99.99
crosswalk4,0.9,Road,99.991
crosswalk4,1.1,Road,99.993
crosswalk4,1.2,Road,99.99
crosswalk4,1.3,Road,99.992
crosswalk4,1.4,Road,99.993
crosswalk4,1.5,Road,99.993
crosswalk7,0.5,Road,99.993
crosswalk7,0.6,Road,99.995
crosswalk7,0.7,Road,99.995
crosswalk7,0.8,Road,99.994
crosswalk7,0.9,Road,99.993
crosswalk7,1.1,Road,99.992
crosswalk7,1.2,Road,99.989
crosswalk7,1.3,Road,99.984
crosswalk7,1.4,Road,99.982
crosswalk7,1.5,Road,99.973
crosswalk9,0.5,Road,99.926
crosswalk9,0.6,Road,99.88
crosswalk9,0.7,Road,99.854
crosswalk9,0.8,Road,99.84
crosswalk9,0.9,Road,99.868
crosswalk9,1.1,Road,99.933
crosswalk9,1.2,Road,99.945
crosswalk9,1.3,Road,99.948
crosswalk9,1.4,Road,99.941
crosswalk9,1.5,Road,99.942
