Image,Contrast,Label,Confidence
food10,0.5,Food,99.413
food10,0.6,Food,99.425
food10,0.7,Food,99.159
food10,0.8,Food,98.963
food10,0.9,Food,98.486
food10,1.1,Food,98.304
food10,1.2,Food,99.134
food10,1.3,Food,99.427
food10,1.4,Food,99.273
food10,1.5,Food,99.193
food2,0.5,Food,96.349
food2,0.6,Food,96.617
food2,0.7,Food,96.74
food2,0.8,Food,96.96
food2,0.9,Food,97.132
food2,1.1,Food,97.13
food2,1.2,Food,97.02
food2,1.3,Food,96.965
food2,1.4,Food,96.892
food2,1.5,Food,97.456
food3,0.5,Food,98.97
food3,0.6,Food,98.16
food3,0.7,Food,97.881
food3,0.8,Food,99.08
food3,0.9,Food,99.369
food3,1.1,Food,99.331
food3,1.2,Food,99.317
food3,1.3,Food,99.191
food3,1.4,Food,99.032
food3,1.5,Food,98.838
food4,0.5,Food,99.969
food4,0.6,Food,99.965
food4,0.7,Food,99.965
food4,0.8,Food,99.98
food4,0.9,Food,99.949
food4,1.1,Food,99.983
food4,1.2,Food,99.987
food4,1.3,Food,99.992
food4,1.4,Food,99.995
food4,1.5,Food,99.997
food5,0.5,Food,98.109
food5,0.6,Food,97.885
food5,0.7,Food,98.42
food5,0.8,Food,98.92
food5,0.9,Food,99.092
food5,1.1,Food,99.376
food5,1.2,Food,99.589
food5,1.3,Food,99.78
food5,1.4,Food,99.707
food5,1.5,Food,99.797
food7,0.5,Food,99.452
food7,0.6,Food,99.433
food7,0.7,Food,99.553
food7,0.8,Food,99.622
food7,0.9,Food,99.599
food7,1.1,Food,99.699
food7,1.2,Food,99.518
food7,1.3,Food,99.383
food7,1.4,Food,99.617
food7,1.5,Food,99.719
food8,0.5,Food,98.288
food8,0.6,Food,98.38
food8,0.7,Food,98.131
food8,0.8,Food,98.13
food8,0.9,Food,98.399
food8,1.1,Food,98.631
food8,1.2,Food,98.71
food8,1.3,Food,98.866
food8,1.4,Food,99.33
food8,1.5,Food,99.584
food9,0.5,Food,98.205
food9,0.6,Food,98.435
food9,0.7,Food,97.964
food9,0.8,Food,98.796
food9,0.9,Food,99.198
food9,1.1,Food,97.277
food9,1.2,Food,97.41
food9,1.3,Food,97.091
food9,1.4,Food,95.76
food9,1.5,Food,96.26
