Image,Sharp,Label,Confidence
food10,0.0,Food,98.292
food10,0.2,Food,98.265
food10,0.4,Food,97.923
food10,0.6,Food,98.265
food10,0.8,Food,98.563
food10,1.2,Food,98.493
food10,1.4,Food,98.419
food10,1.6,Food,98.599
food10,1.8,Food,98.326
food10,2.0,Food,98.631
food2,0.0,Food,97.109
food2,0.2,Food,97.103
food2,0.4,Food,97.139
food2,0.6,Food,96.944
food2,0.8,Food,97.01
food2,1.2,Food,97.288
food2,1.4,Food,97.136
food2,1.6,Food,97.141
food2,1.8,Food,97.128
food2,2.0,Food,97.062
food3,0.0,Food,99.334
food3,0.2,Food,99.407
food3,0.4,Food,99.367
food3,0.6,Food,99.18
food3,0.8,Food,99.265
food3,1.2,Food,99.456
food3,1.4,Food,99.497
food3,1.6,Food,99.509
food3,1.8,Food,99.578
food3,2.0,Food,99.407
food4,0.0,Food,99.969
food4,0.2,Food,99.965
food4,0.4,Food,99.959
food4,0.6,Food,99.962
food4,0.8,Food,99.965
food4,1.2,Food,99.974
food4,1.4,Food,99.979
food4,1.6,Food,99.988
food4,1.8,Food,99.99
food4,2.0,Food,99.988
food5,0.0,Food,99.386
food5,0.2,Food,99.338
food5,0.4,Food,99.321
food5,0.6,Food,99.239
food5,0.8,Food,99.199
food5,1.2,Food,99.159
food5,1.4,Food,99.07
food5,1.6,Food,99.115
food5,1.8,Food,99.012
food5,2.0,Food,99.0
food7,0.0,Food,99.235
food7,0.2,Food,99.401
food7,0.4,Food,99.547
food7,0.6,Food,99.653
food7,0.8,Food,99.566
food7,1.2,Food,99.532
food7,1.4,Food,99.678
food7,1.6,Food,99.501
food7,1.8,Food,99.491
food7,2.0,Food,99.563
food8,0.0,Food,98.577
food8,0.2,Food,98.509
food8,0.4,Food,98.582
food8,0.6,Food,98.546
food8,0.8,Food,98.453
food8,1.2,Food,98.618
food8,1.4,Food,98.886
food8,1.6,Food,99.244
food8,1.8,Food,99.291
food8,2.0,Food,99.124
food9,0.0,Food,97.497
food9,0.2,Food,97.815
food9,0.4,Food,97.638
food9,0.6,Food,98.02
food9,0.8,Food,97.916
food9,1.2,Food,97.343
food9,1.4,Food,97.74
food9,1.6,Food,98.28
food9,1.8,Food,98.606
food9,2.0,Food,98.895
